         247145 function calls in 13.410 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.031    0.031   13.410   13.410 /Users/bridgerhall/Documents/senior project/tanks/main.py:76(main)
      381   10.591    0.028   10.591    0.028 {method 'tick' of 'pygame.time.Clock' objects}
    21096    0.856    0.000    0.856    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
      381    0.554    0.001    0.554    0.001 {built-in method pygame.display.flip}
       15    0.000    0.000    0.518    0.035 /Users/bridgerhall/Documents/senior project/tanks/scene_loader.py:34(scene_changer)
       73    0.001    0.000    0.462    0.006 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:1565(display_scene)
       79    0.049    0.001    0.299    0.004 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:1833(display_scene)
       73    0.067    0.001    0.273    0.004 /Users/bridgerhall/Documents/senior project/tanks/maps.py:19(render_map)
      381    0.245    0.001    0.245    0.001 {built-in method pygame.event.get}
      302    0.244    0.001    0.244    0.001 {built-in method pygame.image.load}
        3    0.008    0.003    0.234    0.078 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:468(load_scene)
        4    0.063    0.016    0.224    0.056 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:1244(load_scene)
       43    0.001    0.000    0.180    0.004 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:336(display_scene)
    17574    0.142    0.000    0.142    0.000 {built-in method pygame.transform.scale_by}
      690    0.126    0.000    0.126    0.000 {method 'render' of 'pygame.font.Font' objects}
        1    0.118    0.118    0.118    0.118 {built-in method pygame.base.quit}
       52    0.000    0.000    0.114    0.002 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/util_pygame.py:152(load_pygame)
       52    0.001    0.000    0.114    0.002 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:476(__init__)
       52    0.001    0.000    0.104    0.002 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:580(parse_xml)
       31    0.000    0.000    0.091    0.003 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:578(display_scene)
      406    0.076    0.000    0.076    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
      139    0.004    0.000    0.068    0.000 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:74(display_scene)
       16    0.000    0.000    0.064    0.004 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:213(display_scene)
      156    0.001    0.000    0.052    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1360(__init__)
      156    0.001    0.000    0.051    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1410(parse_xml)
      198    0.047    0.000    0.047    0.000 {method 'convert_alpha' of 'pygame.surface.Surface' objects}
        3    0.001    0.000    0.041    0.014 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:291(load_scene)
      156    0.012    0.000    0.040    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1434(<listcomp>)
       43    0.001    0.000    0.033    0.001 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:358(run_player_select_2)
       73    0.004    0.000    0.030    0.000 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:1597(run_gameplay_2)
       79    0.001    0.000    0.029    0.000 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:1906(run_results)
    26676    0.009    0.000    0.028    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1118(register_gid_check_flags)
      148    0.001    0.000    0.022    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1180(__init__)
       52    0.002    0.000    0.022    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:636(reload_images)
      148    0.002    0.000    0.022    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1210(parse_xml)
    13036    0.012    0.000    0.019    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1086(register_gid)
       73    0.001    0.000    0.019    0.000 /Users/bridgerhall/Documents/senior project/tanks/game_ui.py:40(render_ui)
      200    0.001    0.000    0.018    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementTree.py:1208(parse)
      137    0.001    0.000    0.018    0.000 /Users/bridgerhall/Documents/senior project/tanks/players.py:333(update)
      200    0.002    0.000    0.017    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementTree.py:556(parse)
    55556    0.017    0.000    0.017    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1379(iter_data)
    37449    0.017    0.000    0.017    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:758(get_tile_image_by_gid)
       52    0.009    0.000    0.013    0.000 /Users/bridgerhall/Documents/senior project/tanks/maps.py:34(get_collision_rects)
      148    0.000    0.000    0.013    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/util_pygame.py:115(pygame_image_loader)
      200    0.009    0.000    0.009    0.000 {method '_parse_whole' of 'xml.etree.ElementTree.XMLParser' objects}
        1    0.000    0.000    0.009    0.009 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:202(load_scene)
    13036    0.005    0.000    0.007    0.000 <string>:1(<lambda>)
      156    0.000    0.000    0.007    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:154(unpack_gids)
       31    0.000    0.000    0.007    0.000 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:660(run_level_select)
      394    0.004    0.000    0.007    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/queue.py:97(empty)
      156    0.006    0.000    0.006    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:181(<listcomp>)
      124    0.000    0.000    0.006    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/util_pygame.py:133(load_image)
      124    0.000    0.000    0.005    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/util_pygame.py:61(smart_convert)
      200    0.005    0.000    0.005    0.000 {built-in method io.open}
        2    0.001    0.000    0.005    0.003 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:57(load_scene)
      148    0.000    0.000    0.005    0.000 <frozen posixpath>:397(abspath)
        1    0.003    0.003    0.005    0.005 /Users/bridgerhall/Documents/senior project/tanks/players.py:9(__init__)
      128    0.001    0.000    0.005    0.000 /Users/bridgerhall/Documents/senior project/tanks/players.py:297(move)
      772    0.000    0.000    0.005    0.000 {method 'findall' of 'xml.etree.ElementTree.Element' objects}
      356    0.001    0.000    0.004    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:419(_set_properties)
      260    0.000    0.000    0.004    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementPath.py:410(findall)
      124    0.004    0.000    0.004    0.000 {built-in method pygame.mask.from_surface}
        2    0.000    0.000    0.004    0.002 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:1817(load_scene)
      128    0.003    0.000    0.004    0.000 /Users/bridgerhall/Documents/senior project/tanks/players.py:310(check_collisions)
      148    0.004    0.000    0.004    0.000 {built-in method posix.getcwd}
        4    0.000    0.000    0.003    0.001 /Users/bridgerhall/Documents/senior project/tanks/game_ui.py:23(load_game_2_ui)
      564    0.001    0.000    0.003    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementPath.py:207(select)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1165(_find_and_load)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
      381    0.003    0.000    0.003    0.000 {built-in method pygame.mixer_music.set_volume}
      137    0.001    0.000    0.002    0.000 /Users/bridgerhall/Documents/senior project/tanks/players.py:239(rotation)
      356    0.002    0.000    0.002    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:390(_cast_and_set_attributes_from_node_items)
      408    0.002    0.000    0.002    0.000 {method 'iter' of 'xml.etree.ElementTree.Element' objects}
    13036    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x105833ca8}
      407    0.001    0.000    0.002    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/queue.py:209(_qsize)
      592    0.001    0.000    0.002    0.000 <frozen posixpath>:71(join)
      274    0.002    0.000    0.002    0.000 {built-in method pygame.transform.rotate}
      444    0.001    0.000    0.002    0.000 <frozen posixpath>:150(dirname)
      137    0.001    0.000    0.002    0.000 /Users/bridgerhall/Documents/senior project/tanks/players.py:245(get_input)
      156    0.000    0.000    0.002    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1401(_set_properties)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:666(_load_unlocked)
      151    0.002    0.000    0.002    0.000 {built-in method posix.stat}
       16    0.000    0.000    0.001    0.000 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:221(run_mode_select)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:934(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
       52    0.000    0.000    0.001    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:558(_set_properties)
      381    0.001    0.000    0.001    0.000 {built-in method pygame.mixer.unpause}
      137    0.001    0.000    0.001    0.000 {built-in method pygame.key.get_pressed}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1496(find_spec)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.BufferedReader' objects}
      381    0.001    0.000    0.001    0.000 {built-in method pygame.time.get_ticks}
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1016    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     9026    0.001    0.000    0.001    0.000 {method 'colliderect' of 'pygame.rect.Rect' objects}
      156    0.000    0.000    0.001    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:137(reshape_data)
      148    0.000    0.000    0.001    0.000 <frozen genericpath>:16(exists)
      260    0.001    0.000    0.001    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementPath.py:360(iterfind)
       80    0.001    0.000    0.001    0.000 {method 'convert' of 'pygame.surface.Surface' objects}
     2232    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1184    0.001    0.000    0.001    0.000 <frozen posixpath>:41(_get_sep)
